"","publication year","Reference","ID","study period","country","English name","scientific name","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes"
"1035",2009,"Henny et al. 2009",148,"1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",21,"2","0.1","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1036",2009,"Henny et al. 2009",148,"1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",63,"11","0.17","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1037",2009,"Henny et al. 2009",148,"1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",27,"4","0.15","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1038",2009,"Henny et al. 2009",148,"1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1039",2009,"Henny et al. 2009",148,"2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1040",2009,"Henny et al. 2009",148,"1978-1979","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",21,"4","0.19","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1041",2009,"Henny et al. 2009",148,"1980","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",63,"18","0.28999999999999998","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1042",2009,"Henny et al. 2009",148,"1984","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",27,"7","0.26","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1043",2009,"Henny et al. 2009",148,"1994","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",45,"0","0","unknown/mixed","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1044",2009,"Henny et al. 2009",148,"2004","United States of America","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","NA",27,"0","0","adult","female","NA","NA",">=0.02","NA","NA","NA","ug/g","wet","no","NA","NA",NA
"1045",2008,"Hernandez et al. 2008",149,"1989-2003","Spain","Spanish Imperial Eagle","Aquila adalberti","wild","DDE","organochlorine insecticides","eggs","Central",23,"NA","NA","unknown/mixed","unknown/mixed","geometric mean","0.95699999999999996",">=0.001","1.36","NA","NA","ug/g","wet","yes","Eggs were narrower and less thick with increasing DDE levels","Morphology","Also measured fertility (infertile eggs had higher levels of DDE, but not significant)"
"1046",2008,"Hernandez et al. 2008",149,"1989-2003","Spain","Spanish Imperial Eagle","Aquila adalberti","wild","DDE","organochlorine insecticides","eggs","Western",22,"NA","NA","unknown/mixed","unknown/mixed","geometric mean","0.71199999999999997",">=0.001","1.07","NA","NA","ug/g","wet","yes","Eggs were narrower and less thick with increasing DDE levels","Morphology","Also measured fertility (infertile eggs had higher levels of DDE, but not significant)"
"1047",2008,"Hernandez et al. 2008",149,"1989-2003","Spain","Spanish Imperial Eagle","Aquila adalberti","wild","DDE","organochlorine insecticides","eggs","Donana",24,"NA","NA","unknown/mixed","unknown/mixed","geometric mean","2.0859999999999999",">=0.001","2.96","NA","18.001000000000001","ug/g","wet","yes","Eggs were narrower and less thick with increasing DDE levels","Morphology","Also measured fertility (infertile eggs had higher levels of DDE, but not significant); clutch size (significantly higher DDE levels in smaller clutches); probability of hatching (clutches with higher DDE levels hatched less often-near significance); and productivity (clutches with higher DDE levels produced fewer fledglings-significant)"
"1048",2008,"Hernandez et al. 2008",149,"1989-2003","Spain","Spanish Imperial Eagle","Aquila adalberti","wild","Total PCBs","organochlorine insecticides","eggs","Central",19,"NA","NA","unknown/mixed","unknown/mixed","geometric mean","0.78400000000000003","0.003-0.005","1.8149999999999999","NA","NA","ug/g","wet","yes","PCBs did not explain variation in egg morphology","Morphology","Also measured fertility (infertile eggs had higher levels of PCBs, but not significant)"
"1049",2008,"Hernandez et al. 2008",149,"1989-2003","Spain","Spanish Imperial Eagle","Aquila adalberti","wild","Total PCBs","organochlorine insecticides","eggs","Western",14,"NA","NA","unknown/mixed","unknown/mixed","geometric mean","0.85899999999999999","0.003-0.005","2.16","NA","NA","ug/g","wet","yes","PCBs did not explain variation in egg morphology","Morphology","Also measured fertility (infertile eggs had higher levels of PCBs, but not significant)"
"1050",2008,"Hernandez et al. 2008",149,"1989-2003","Spain","Spanish Imperial Eagle","Aquila adalberti","wild","Total PCBs","organochlorine insecticides","eggs","Donana",23,"NA","NA","unknown/mixed","unknown/mixed","geometric mean","1.369","0.003-0.005","3.77","NA","16.417000000000002","ug/g","wet","yes","PCBs did not explain variation in egg morphology","Morphology","Also measured fertility (infertile eggs had higher levels of PCBs, but not significant)"
"1051",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Aldicarb","pesticides","not specified","NA",166,"NA","0.38600000000000001","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA","Paper studied poisoned birds, most of which were carcasses; examined tissues but did not specify which ones"
"1052",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Carbofuran","pesticides","not specified","NA",166,"NA","0.313","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1053",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","strychnine","pesticides","not specified","NA",166,"NA","0.16300000000000001","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1054",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Monocrotophos","pesticides","not specified","NA",166,"NA","1.2E-2","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1055",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","As","heavy metals","not specified","NA",166,"NA","1.2E-2","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1056",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Fenthion","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1057",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","chlorfenvinphos","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1058",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Lindane","organochlorine insecticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1059",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Dimethoate","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1060",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","fonofos","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1061",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Terbufos","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1062",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","coumaphos","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1063",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Malathion","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1064",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Dichlorvos","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1065",2009,"Hernandez et al. 2009",150,"1990-2007","Spain","Egyptian Vulture","Neophron percnopterus","wild","Chlorpyrofos","pesticides","not specified","NA",166,"NA","6.0000000000000001E-3","unknown/mixed","unknown/mixed","NA","NA","NA","NA","NA","NA","NA","NA","no","NA","NA",NA
"1066",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Golden Eagle","Aquila chrysaetos","wild","Total PCBs","PCBs","eggs","NA",12,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1446","0.1-10","NA","264","4715","ng/g","wet","no","NA","NA","Did not say which type of mean; assumed arithmetic"
"1067",2002,"Herzke et al. 2002",151,"1991-1997","Norway","White-tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","eggs","NA",7,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","8955","0.1-10","NA","3078","13038","ng/g","wet","no","NA","NA",NA
"1068",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Osprey","Pandion haliaetus","wild","Total PCBs","PCBs","eggs","NA",5,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","5458","0.1-10","NA","ND","12927","ng/g","wet","no","NA","NA",NA
"1069",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Merlin","Falco columbarius","wild","Total PCBs","PCBs","eggs","NA",3,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1654","0.1-10","NA","1396","1968","ng/g","wet","no","NA","NA",NA
"1070",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Gyr Falcon","Falco rusticolus","wild","Total PCBs","PCBs","eggs","NA",3,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","2017","0.1-10","NA","285","5308","ng/g","wet","no","NA","NA",NA
"1071",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Northern Goshawk","Accipiter gentilis","wild","Total PCBs","PCBs","eggs","NA",7,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","4693","0.1-10","NA","358","9880","ng/g","wet","no","NA","NA",NA
"1072",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Peregrine Falcon","Falco peregrinus","wild","Total PCBs","PCBs","eggs","NA",5,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","10597","0.1-10","NA","2265","25517","ng/g","wet","no","NA","NA",NA
"1073",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Eurasian Sparrowhawk","Accipiter nisus","wild","Total PCBs","PCBs","eggs","NA",2,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","5095","0.1-10","NA","4489","5701","ng/g","wet","no","NA","NA",NA
"1074",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Golden Eagle","Aquila chrysaetos","wild","NA","organochlorine insecticides","eggs","NA",12,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","602","0.1-10","NA","36","1895","ng/g","wet","no","NA","NA","This paper separates chlorobornanes from organochlorines and reports values separately; they are not included here"
"1075",2002,"Herzke et al. 2002",151,"1991-1997","Norway","White-tailed Eagle","Haliaeetus albicilla","wild","NA","organochlorine insecticides","eggs","NA",7,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1690","0.1-10","NA","617","4321","ng/g","wet","no","NA","NA",NA
"1076",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Osprey","Pandion haliaetus","wild","NA","organochlorine insecticides","eggs","NA",5,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","2530","0.1-10","NA","ND","5065","ng/g","wet","no","NA","NA",NA
"1077",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Merlin","Falco columbarius","wild","NA","organochlorine insecticides","eggs","NA",3,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","3046","0.1-10","NA","2358","3519","ng/g","wet","no","NA","NA",NA
"1078",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Gyr Falcon","Falco rusticolus","wild","NA","organochlorine insecticides","eggs","NA",3,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","353","0.1-10","NA","102","766","ng/g","wet","no","NA","NA",NA
"1079",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Northern Goshawk","Accipiter gentilis","wild","NA","organochlorine insecticides","eggs","NA",7,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1492","0.1-10","NA","413","2658","ng/g","wet","no","NA","NA",NA
"1080",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Peregrine Falcon","Falco peregrinus","wild","NA","organochlorine insecticides","eggs","NA",5,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","3118","0.1-10","NA","1533","5474","ng/g","wet","no","NA","NA",NA
"1081",2002,"Herzke et al. 2002",151,"1991-1997","Norway","Eurasian Sparrowhawk","Accipiter nisus","wild","NA","organochlorine insecticides","eggs","NA",2,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","3519","0.1-10","NA","1249","5788","ng/g","wet","no","NA","NA",NA
"1082",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","140","3","NA","100","190","ug/kg (ppb)","wet","no","NA","NA","Range is reported as ""Range +- 1 SD"""
"1083",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","5.8","1","NA","3.6","9.3000000000000007","ug/kg (ppb)","wet","no","NA","NA",NA
"1084",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","South",3,"NA","NA","adult","female","geometric mean","1.8","1","NA","1.8","2.8","ug/kg (ppb)","wet","no","NA","NA",NA
"1085",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","b-HCH","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","2.8","1","NA","1.9","4.0999999999999996","ug/kg (ppb)","wet","no","NA","NA",NA
"1086",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","26","1","NA","12","57","ug/kg (ppb)","wet","no","NA","NA",NA
"1087",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","31","1","NA","14","71","ug/kg (ppb)","wet","no","NA","NA",NA
"1088",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","MC-2","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","3.5","1","NA","1.4","8.9","ug/kg (ppb)","wet","no","NA","NA",NA
"1089",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","MC-5","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","6.2","1","NA","2.4","16","ug/kg (ppb)","wet","no","NA","NA",NA
"1090",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","trans-nonachlor","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","3.3","1","NA","1.5","7.4","ug/kg (ppb)","wet","no","NA","NA",NA
"1091",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","cis-nonachlor","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","2.4","1","NA","0.78","7.6","ug/kg (ppb)","wet","no","NA","NA",NA
"1092",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","HCB","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","5.3","1","NA","4.0999999999999996","6.9","ug/kg (ppb)","wet","no","NA","NA",NA
"1093",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","South",5,"NA","NA","adult","female","geometric mean","18","3","NA","9.1","37","ug/kg (ppb)","wet","no","NA","NA",NA
"1094",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","Total PCBs","PCBs","blood","South",5,"NA","NA","adult","female","geometric mean","300","3","NA","160","570","ug/kg (ppb)","wet","no","NA","NA",NA
"1095",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","DDE","organochlorine insecticides","blood","West",41,"NA","NA","adult","female","geometric mean","220","3","NA","63","790","ug/kg (ppb)","wet","no","NA","NA",NA
"1096",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","DDT","organochlorine insecticides","blood","West",31,"NA","NA","adult","female","geometric mean","4.9000000000000004","1","NA","1.1000000000000001","23","ug/kg (ppb)","wet","no","NA","NA",NA
"1097",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","DDD","organochlorine insecticides","blood","West",13,"NA","NA","adult","female","geometric mean","3.5","1","NA","1.4","9.1","ug/kg (ppb)","wet","no","NA","NA",NA
"1098",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","b-HCH","organochlorine insecticides","blood","West",34,"NA","NA","adult","female","geometric mean","2.6","1","NA","0.72","9.5","ug/kg (ppb)","wet","no","NA","NA",NA
"1099",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","oxychlordane","organochlorine insecticides","blood","West",37,"NA","NA","adult","female","geometric mean","18","1","NA","7.6","43","ug/kg (ppb)","wet","no","NA","NA",NA
"1100",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","heptachlor epoxide (trans)","organochlorine insecticides","blood","West",40,"NA","NA","adult","female","geometric mean","17","1","NA","4.5","68","ug/kg (ppb)","wet","no","NA","NA",NA
"1101",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","MC-2","organochlorine insecticides","blood","West",19,"NA","NA","adult","female","geometric mean","2.8","1","NA","1.3","6.1","ug/kg (ppb)","wet","no","NA","NA",NA
"1102",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","MC-5","organochlorine insecticides","blood","West",22,"NA","NA","adult","female","geometric mean","4.8","1","NA","1.6","14","ug/kg (ppb)","wet","no","NA","NA",NA
"1103",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","trans-nonachlor","organochlorine insecticides","blood","West",34,"NA","NA","adult","female","geometric mean","3.2","1","NA","1.2","8.1999999999999993","ug/kg (ppb)","wet","no","NA","NA",NA
"1104",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","cis-nonachlor","organochlorine insecticides","blood","West",17,"NA","NA","adult","female","geometric mean","2.4","1","NA","0.94","6.2","ug/kg (ppb)","wet","no","NA","NA",NA
"1105",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","HCB","organochlorine insecticides","blood","West",34,"NA","NA","adult","female","geometric mean","3.9","1","NA","1.5","10","ug/kg (ppb)","wet","no","NA","NA",NA
"1106",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","mirex","organochlorine insecticides","blood","West",39,"NA","NA","adult","female","geometric mean","10","3","NA","3.8","27","ug/kg (ppb)","wet","no","NA","NA",NA
"1107",1994,"Jarman et al. 1994",152,"1983-1989","Greenland","Peregrine Falcon","Falco peregrinus","wild","Total PCBs","PCBs","blood","West",40,"NA","NA","adult","female","geometric mean","130","3","NA","43","380","ug/kg (ppb)","wet","no","NA","NA",NA
"1108",1994,"Jarman et al. 1994",152,"1989-1990","Greenland","Gyr Falcon","Falco rusticolus","wild","DDE","organochlorine insecticides","blood","NA",4,"3","NA","unknown/mixed","unknown/mixed","NA","NA","3","NA","NA","NA","ug/kg (ppb)","wet","no","NA","NA","For gyrfalcons, only reported the number exposed, not the mean or range (although all were <20 ug/kg); only DDE was detected in this species"
"1109",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","liver","NA",1,"NA","NA","adult","female","n=1","0.153","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA","Only reported the mean for all birds, but they are in different countries and different subject types, so I just input the values for each bird"
"1110",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","liver","NA",1,"NA","NA","adult","female","n=1","0.26500000000000001","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1111",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","liver","NA",1,"NA","NA","adult","female","n=1","1.7999999999999999E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1112",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","liver","NA",1,"NA","NA","immature","female","n=1","0.48599999999999999","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1113",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","liver","NA",1,"NA","NA","immature","female","n=1","1.2E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1114",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","liver","NA",1,"NA","NA","immature","female","n=1","ND","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1115",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","kidney","NA",1,"NA","NA","immature","female","n=1","0.39400000000000002","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1116",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","kidney","NA",1,"NA","NA","immature","female","n=1","4.0000000000000001E-3","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1117",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","kidney","NA",1,"NA","NA","immature","female","n=1","8.9999999999999993E-3","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1118",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","liver","NA",1,"NA","NA","immature","male","n=1","0.28499999999999998","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1119",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","liver","NA",1,"NA","NA","immature","male","n=1","7.8E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1120",2007,"Kenntner et al. 2007",153,"2000-2001","Germany","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","liver","NA",1,"NA","NA","immature","male","n=1","5.7000000000000002E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1121",2007,"Kenntner et al. 2007",153,"2000-2001","Austria","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","liver","NA",1,"NA","NA","adult","female","n=1","0.41","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1122",2007,"Kenntner et al. 2007",153,"2000-2001","Austria","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","liver","NA",1,"NA","NA","adult","female","n=1","5.8999999999999997E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1123",2007,"Kenntner et al. 2007",153,"2000-2001","Austria","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","liver","NA",1,"NA","NA","adult","female","n=1","0.01","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1124",2007,"Kenntner et al. 2007",153,"2000-2001","Austria","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","kidney","NA",1,"NA","NA","adult","female","n=1","0.68500000000000005","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1125",2007,"Kenntner et al. 2007",153,"2000-2001","Austria","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","kidney","NA",1,"NA","NA","adult","female","n=1","0.23599999999999999","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1126",2007,"Kenntner et al. 2007",153,"2000-2001","Austria","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","kidney","NA",1,"NA","NA","adult","female","n=1","1.4E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1127",2007,"Kenntner et al. 2007",153,"2000-2001","Switzerland","Golden Eagle","Aquila chrysaetos","wild","Pb","heavy metals","liver","NA",1,"NA","NA","unknown/mixed","female","n=1","59.49","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1128",2007,"Kenntner et al. 2007",153,"2000-2001","Switzerland","Golden Eagle","Aquila chrysaetos","wild","Cd","heavy metals","liver","NA",1,"NA","NA","unknown/mixed","female","n=1","3.9E-2","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
"1129",2007,"Kenntner et al. 2007",153,"2000-2001","Switzerland","Golden Eagle","Aquila chrysaetos","wild","Hg","heavy metals","liver","NA",1,"NA","NA","unknown/mixed","female","n=1","0.02","NA","NA","NA","NA","mg/kg (ppm)","wet","no","NA","NA",NA
